Code;Art;Gruppe;Element;Berechnungsart
0;Vermessungspunkte;Allgemein;Kontrollpunkt;Kontrollmessung
11;Vermessungspunkte;Lage;Festpunkt allgemein;L+H
12;Vermessungspunkte;Lage;Absteckpunkt_allgemein;-
13;Vermessungspunkte;Lage;vermarkter Kleinpunkt;-
16;Vermessungspunkte;Lage;Trigonometrischer Punkt;L
17;Vermessungspunkte;Lage;Lagefestpunkt;L
18;Vermessungspunkte;Höhe;Höhenfestpunkt;H
19;Vermessungspunkte;Höhe;Hilfshöhenpunkt;H
20;Vermessungspunkte;Lage und Höhe;Lage- und Höhen-Festpunkt;L+H
50;Allgemeines;Geometrie (rechnerische Festlegung);Geradenpunkt;-
51;Allgemeines;Geometrie (rechnerische Festlegung);Geradenanfang;-
52;Allgemeines;Geometrie (rechnerische Festlegung);Geradenende;-
53;Allgemeines;Geometrie (rechnerische Festlegung);Kreispunkt;-
54;Allgemeines;Geometrie (rechnerische Festlegung);Bogenanfang;-
55;Allgemeines;Geometrie (rechnerische Festlegung);Bogenende;-
56;Allgemeines;Geometrie (rechnerische Festlegung);Kreismittelpunkt;-
57;Allgemeines;Geometrie (rechnerische Festlegung);Tangentenschnittpunkt;-
58;Allgemeines;Geometrie (rechnerische Festlegung);Radiuswechsel;-
59;Allgemeines;Geometrie (rechnerische Festlegung);Schnittpunkt;-
60;Allgemeines;Geometrie (rechnerische Festlegung);Klotoidenpunkt;-
61;Allgemeines;Geometrie (rechnerische Festlegung);Klotoidenanfang;-
62;Allgemeines;Geometrie (rechnerische Festlegung);Klotoidenende;-
63;Allgemeines;Geometrie (rechnerische Festlegung);Weichenanfang;-
64;Allgemeines;Geometrie (rechnerische Festlegung);Weichenmitte;-
65;Allgemeines;Geometrie (rechnerische Festlegung);Weichenende;-
66;Allgemeines;Geometrie (rechnerische Festlegung);WE_Zweiggleis;-
68;Allgemeines;Geometrie (rechnerische Festlegung);Hilfspunkt;-
69;Allgemeines;Geometrie (rechnerische Festlegung);SP_Gerade_Gerade;-
70;Allgemeines;Geometrie (rechnerische Festlegung);SP_Gerade_Kreis;-
71;Allgemeines;Geometrie (rechnerische Festlegung);SP_Gerade_Klotoide;-
72;Allgemeines;Geometrie (rechnerische Festlegung);SP_Kreis_Kreis;-
73;Allgemeines;Geometrie (rechnerische Festlegung);SP_Kreis_Klotoide;-
100;Vermessungspunkte;Allgemein;Folgepunkt;-
101;Vermessungspunkte;Allgemein;Kontrollpunkt;Kontrollmessung
112;Vermessungspunkte;Lage;freier Standpunkt;-
113;Vermessungspunkte;Lage;Richtungsanschluß;-
114;Vermessungspunkte;Lage;Kontrolle_Richtungsanschluß;Kontrollmessung
121;Vermessungspunkte;Lage;Marke_an_Schiene;-
122;Vermessungspunkte;Lage;Pflock_mit_Nagel;-
123;Vermessungspunkte;Lage;Farbkreuz;-
124;Vermessungspunkte;Lage;Nagel_oder_Pinne;-
125;Vermessungspunkte;Lage;Messingmarke;-
151;Vermessungspunkte;Lage;Gleisfestpunkt_Mastbolzen_links;L+H
152;Vermessungspunkte;Lage;Gleisfestpunkt_Mastbolzen_rechts;L+H
153;Vermessungspunkte;Lage;Gleisfestpunkt_Stehbolzen_links;L+H
154;Vermessungspunkte;Lage;Gleisfestpunkt_Stehbolzen_rechts;L+H
155;Vermessungspunkte;Lage;Gleisfestpunkt_Bodenvermark_links;L+H
156;Vermessungspunkte;Lage;Gleisfestpunkt_Bodenvermark_rechts;L+H
157;Vermessungspunkte;Lage;Gleisfestpunkt_Tunnelbolzen_links;L+H
158;Vermessungspunkte;Lage;Gleisfestpunkt_Tunnelbolzen_rechts;L+H
171;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_01;-
172;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_02;-
173;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_03;-
174;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_04;-
175;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_05;-
176;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_06;-
177;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_07;-
178;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_08;-
179;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_09;-
180;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_10;-
181;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_11;-
182;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_12;-
183;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_13;-
184;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_14;-
185;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_15;-
186;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_16;-
187;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_17;-
188;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_18;-
189;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_19;-
190;Vermessungspunkte;Projektspezifische Codes;Projekt_Code_20;-
210;Grenzen;Grenzmarken;Grenzmarken;-
211;Grenzen;Grenzmarken;Grenzpunkt_unverm.;-
212;Grenzen;Grenzmarken;Grenzpunkt_vermarkt;-
213;Grenzen;Grenzmarken;Landesgrenze;-
220;Grenzen;politische Grenzen;politische_Grenzen;-
221;Grenzen;politische Grenzen;Staatsgrenze;-
222;Grenzen;politische Grenzen;Bundeslandgrenze;-
223;Grenzen;politische Grenzen;Regierungsbezirk;-
224;Grenzen;politische Grenzen;Stadtkreis;-
225;Grenzen;politische Grenzen;Landkreis;-
226;Grenzen;politische Grenzen;Gemeinde;-
227;Grenzen;politische Grenzen;Gemeinde_keine_Gemarkung;-
230;Grenzen;Katastergrenze;Katastergrenzen;-
231;Grenzen;Katastergrenze;Gemarkungsgrenze;-
232;Grenzen;Katastergrenze;Flurgrenze;-
233;Grenzen;Katastergrenze;Flurstücksgrenze;-
234;Grenzen;Katastergrenze;strittige_Grenze;-
240;Grenzen;Bahngrenze;Bahngrenzen;-
241;Grenzen;Bahngrenze;Vermögen_Grundbuch;-
242;Grenzen;Bahngrenze;Anliegergewässer;-
245;Grenzen;Bahngrenze;Direktion;-
246;Grenzen;Bahngrenze;Regionalabteilung;-
247;Grenzen;Bahngrenze;Dienststelle;-
248;Grenzen;Bahngrenze;Baubezirk;-
249;Grenzen;Bahngrenze;Gleisanschluß;-
250;Grenzen;Bahngrenze;Grenzanlagen_allgemein;-
251;Grenzen;sonstige Grenzen;Nutzungsarten;-
252;Grenzen;sonstige Grenzen;Belastungsgrenze;-
253;Grenzen;sonstige Grenzen;Hochwasser;-
254;Grenzen;sonstige Grenzen;Naturschutzgebiet;-
255;Grenzen;sonstige Grenzen;Landschaftsschutzgebiet;-
256;Grenzen;sonstige Grenzen;Wasserschutzgebiet;-
257;Grenzen;sonstige Grenzen;Lärmschutzgebiet;-
258;Grenzen;sonstige Grenzen;topogr_Begrenzung;-
259;Grenzen;sonstige Grenzen;Begrenzung_überdeckt;-
260;Grenzen;sonstige Grenzen;Zollgrenze;-
261;Grenzen;sonstige Grenzen;Zusammengehörigkeit;-
270;Grenzen;sonstige Grenzen;Einfriedung_allgemein;-
271;Grenzen;sonstige Grenzen;Zaun;-
273;Grenzen;Einfriedung / Mauer;Bretterwand;-
274;Grenzen;Einfriedung / Mauer;Grenzmauer;-
276;Grenzen;Einfriedung / Mauer;Hecke;-
277;Grenzen;Einfriedung / Mauer;Tür;-
278;Grenzen;Einfriedung / Mauer;Tor;-
279;Grenzen;Einfriedung / Mauer;Geländer;-
280;Grenzen;Einfriedung / Mauer;Mauer_allgemein;-
281;Grenzen;Einfriedung / Mauer;freistehende_Mauer;-
282;Grenzen;Einfriedung / Mauer;Brüstungsmauer;-
283;Grenzen;Einfriedung / Mauer;Stützmauer;-
284;Grenzen;Einfriedung / Mauer;Mauer_mit_Anlauf;-
285;Grenzen;Einfriedung / Mauer;Mauer_geneigt_oben;-
286;Grenzen;Einfriedung / Mauer;Mauer_geneigt_unten;-
288;Grenzen;Einfriedung / Mauer;Spundwand;-
289;Grenzen;Einfriedung / Mauer;Lärmschutzwand;-
300;Gebäude;bauliche Anlagen;Gebäude_allgemein;-
301;Gebäude;bauliche Anlagen;Schuppen;-
302;Gebäude;bauliche Anlagen;Garage;-
303;Gebäude;bauliche Anlagen;Gewächshaus;-
304;Gebäude;bauliche Anlagen;Laube;-
305;Gebäude;bauliche Anlagen;Wohnhaus;-
306;Gebäude;bauliche Anlagen;Hochhaus;-
307;Gebäude;bauliche Anlagen;Wirtschaftsgebäude;-
308;Gebäude;bauliche Anlagen;öffentliches_Gebäude;-
309;Gebäude;bauliche Anlagen;Kirche;-
310;Gebäude;bauliche Besonderheiten;bauliche_Besonderheiten;-
311;Gebäude;bauliche Besonderheiten;Gebäude_auf_Stützen;-
312;Gebäude;bauliche Besonderheiten;Nische;-
313;Gebäude;bauliche Besonderheiten;Durchgang;-
314;Gebäude;bauliche Besonderheiten;Vorbau_Vorsprung;-
315;Gebäude;bauliche Besonderheiten;Loggia;-
316;Gebäude;bauliche Besonderheiten;Überdachung;-
317;Gebäude;bauliche Besonderheiten;Balkon_Erker;-
318;Gebäude;bauliche Besonderheiten;offene_Halle;-
319;Gebäude;bauliche Besonderheiten;unterirdisches_Gebäude;-
320;Gebäude;Bahngebäude;Bahngebäude_allgemein;-
321;Gebäude;Bahngebäude;Empfangsgebäude;-
322;Gebäude;Bahngebäude;Aufsicht_Bahnwärter;-
323;Gebäude;Bahngebäude;Warteraum;-
324;Gebäude;Bahngebäude;Kiosk;-
325;Gebäude;Bahngebäude;Werkstatt_Abstellgeb;-
326;Gebäude;Bahngebäude;Trafohaus;-
327;Gebäude;Bahngebäude;Lokschuppen;-
328;Gebäude;Bahngebäude;Gleiswaagenhaus;-
329;Gebäude;Bahngebäude;bahneigenes_Gebäude;-
330;Gebäude;Stellwerk;Stellwerk_allgemein;-
331;Gebäude;Stellwerk;Stellwerk_mechanisch;-
332;Gebäude;Stellwerk;Stellwerk_ü_2m_ü_SO;-
333;Gebäude;Stellwerk;Stellwerk_elektrisch;-
334;Gebäude;Stellwerk;Stellwerk_ü_2m_ü_SO;-
